Data,Saldo,Aporte,Base de Cálculo,Rendimento Bruto,IR (%),Rendimento Líquido,Saldo Final
04/2038,"R$ 289.389,84","R$ 1.000,00","R$ 290.389,84","R$ 3.049,09",15.0%,"R$ 2.591,73","R$ 292.981,57"
05/2038,"R$ 292.981,57","R$ 1.000,00","R$ 293.981,57","R$ 3.086,81",15.0%,"R$ 2.623,79","R$ 296.605,35"
06/2038,"R$ 296.605,35","R$ 1.000,00","R$ 297.605,35","R$ 3.124,86",15.0%,"R$ 2.656,13","R$ 300.261,48"
07/2038,"R$ 300.261,48","R$ 1.000,00","R$ 301.261,48","R$ 3.163,25",15.0%,"R$ 2.688,76","R$ 303.950,24"
08/2038,"R$ 303.950,24","R$ 1.000,00","R$ 304.950,24","R$ 3.201,98",15.0%,"R$ 2.721,68","R$ 307.671,92"
09/2038,"R$ 307.671,92","R$ 1.000,00","R$ 308.671,92","R$ 3.241,06",15.0%,"R$ 2.754,90","R$ 311.426,82"
10/2038,"R$ 311.426,82","R$ 1.000,00","R$ 312.426,82","R$ 3.280,48",15.0%,"R$ 2.788,41","R$ 315.215,23"
11/2038,"R$ 315.215,23","R$ 1.000,00","R$ 316.215,23","R$ 3.320,26",15.0%,"R$ 2.822,22","R$ 319.037,45"
12/2038,"R$ 319.037,45","R$ 1.000,00","R$ 320.037,45","R$ 3.360,39",15.0%,"R$ 2.856,33","R$ 322.893,78"
01/2039,"R$ 322.893,78","R$ 1.000,00","R$ 323.893,78","R$ 3.400,88",15.0%,"R$ 2.890,75","R$ 326.784,53"
02/2039,"R$ 326.784,53","R$ 1.000,00","R$ 327.784,53","R$ 3.441,74",15.0%,"R$ 2.925,48","R$ 330.710,01"
03/2039,"R$ 330.710,01","R$ 1.000,00","R$ 331.710,01","R$ 3.482,96",15.0%,"R$ 2.960,51","R$ 334.670,52"
04/2039,"R$ 334.670,52","R$ 1.000,00","R$ 335.670,52","R$ 3.524,54",15.0%,"R$ 2.995,86","R$ 338.666,38"
05/2039,"R$ 338.666,38","R$ 1.000,00","R$ 339.666,38","R$ 3.566,50",15.0%,"R$ 3.031,52","R$ 342.697,90"
06/2039,"R$ 342.697,90","R$ 1.000,00","R$ 343.697,90","R$ 3.608,83",15.0%,"R$ 3.067,50","R$ 346.765,41"
07/2039,"R$ 346.765,41","R$ 1.000,00","R$ 347.765,41","R$ 3.651,54",15.0%,"R$ 3.103,81","R$ 350.869,21"
08/2039,"R$ 350.869,21","R$ 1.000,00","R$ 351.869,21","R$ 3.694,63",15.0%,"R$ 3.140,43","R$ 355.009,65"
09/2039,"R$ 355.009,65","R$ 1.000,00","R$ 356.009,65","R$ 3.738,10",15.0%,"R$ 3.177,39","R$ 359.187,03"
10/2039,"R$ 359.187,03","R$ 1.000,00","R$ 360.187,03","R$ 3.781,96",15.0%,"R$ 3.214,67","R$ 363.401,70"
11/2039,"R$ 363.401,70","R$ 1.000,00","R$ 364.401,70","R$ 3.826,22",15.0%,"R$ 3.252,29","R$ 367.653,99"
12/2039,"R$ 367.653,99","R$ 1.000,00","R$ 368.653,99","R$ 3.870,87",15.0%,"R$ 3.290,24","R$ 371.944,22"
01/2040,"R$ 371.944,22","R$ 1.000,00","R$ 372.944,22","R$ 3.915,91",15.0%,"R$ 3.328,53","R$ 376.272,75"
02/2040,"R$ 376.272,75","R$ 1.000,00","R$ 377.272,75","R$ 3.961,36",15.0%,"R$ 3.367,16","R$ 380.639,91"
03/2040,"R$ 380.639,91","R$ 1.000,00","R$ 381.639,91","R$ 4.007,22",15.0%,"R$ 3.406,14","R$ 385.046,05"
04/2040,"R$ 385.046,05","R$ 1.000,00","R$ 386.046,05","R$ 4.053,48",15.0%,"R$ 3.445,46","R$ 389.491,51"
05/2040,"R$ 389.491,51","R$ 1.000,00","R$ 390.491,51","R$ 4.100,16",15.0%,"R$ 3.485,14","R$ 393.976,65"
06/2040,"R$ 393.976,65","R$ 1.000,00","R$ 394.976,65","R$ 4.147,25",15.0%,"R$ 3.525,17","R$ 398.501,81"
07/2040,"R$ 398.501,81","R$ 1.000,00","R$ 399.501,81","R$ 4.194,77",15.0%,"R$ 3.565,55","R$ 403.067,37"
08/2040,"R$ 403.067,37","R$ 1.000,00","R$ 404.067,37","R$ 4.242,71",15.0%,"R$ 3.606,30","R$ 407.673,67"
09/2040,"R$ 407.673,67","R$ 1.000,00","R$ 408.673,67","R$ 4.291,07",15.0%,"R$ 3.647,41","R$ 412.321,08"
10/2040,"R$ 412.321,08","R$ 1.000,00","R$ 413.321,08","R$ 4.339,87",15.0%,"R$ 3.688,89","R$ 417.009,97"
11/2040,"R$ 417.009,97","R$ 1.000,00","R$ 418.009,97","R$ 4.389,10",15.0%,"R$ 3.730,74","R$ 421.740,71"
12/2040,"R$ 421.740,71","R$ 1.000,00","R$ 422.740,71","R$ 4.438,78",15.0%,"R$ 3.772,96","R$ 426.513,67"
01/2041,"R$ 426.513,67","R$ 1.000,00","R$ 427.513,67","R$ 4.488,89",15.0%,"R$ 3.815,56","R$ 431.329,23"
02/2041,"R$ 431.329,23","R$ 1.000,00","R$ 432.329,23","R$ 4.539,46",15.0%,"R$ 3.858,54","R$ 436.187,77"
03/2041,"R$ 436.187,77","R$ 1.000,00","R$ 437.187,77","R$ 4.590,47",15.0%,"R$ 3.901,90","R$ 441.089,67"
04/2041,"R$ 441.089,67","R$ 1.000,00","R$ 442.089,67","R$ 4.641,94",15.0%,"R$ 3.945,65","R$ 446.035,32"
05/2041,"R$ 446.035,32","R$ 1.000,00","R$ 447.035,32","R$ 4.693,87",15.0%,"R$ 3.989,79","R$ 451.025,11"
06/2041,"R$ 451.025,11","R$ 1.000,00","R$ 452.025,11","R$ 4.746,26",15.0%,"R$ 4.034,32","R$ 456.059,43"
07/2041,"R$ 456.059,43","R$ 1.000,00","R$ 457.059,43","R$ 4.799,12",15.0%,"R$ 4.079,26","R$ 461.138,69"
08/2041,"R$ 461.138,69","R$ 1.000,00","R$ 462.138,69","R$ 4.852,46",15.0%,"R$ 4.124,59","R$ 466.263,28"
09/2041,"R$ 466.263,28","R$ 1.000,00","R$ 467.263,28","R$ 4.906,26",15.0%,"R$ 4.170,32","R$ 471.433,60"
10/2041,"R$ 471.433,60","R$ 1.000,00","R$ 472.433,60","R$ 4.960,55",15.0%,"R$ 4.216,47","R$ 476.650,07"
11/2041,"R$ 476.650,07","R$ 1.000,00","R$ 477.650,07","R$ 5.015,33",15.0%,"R$ 4.263,03","R$ 481.913,10"
12/2041,"R$ 481.913,10","R$ 1.000,00","R$ 482.913,10","R$ 5.070,59",15.0%,"R$ 4.310,00","R$ 487.223,10"
01/2042,"R$ 487.223,10","R$ 1.000,00","R$ 488.223,10","R$ 5.126,34",15.0%,"R$ 4.357,39","R$ 492.580,49"
02/2042,"R$ 492.580,49","R$ 1.000,00","R$ 493.580,49","R$ 5.182,60",15.0%,"R$ 4.405,21","R$ 497.985,69"
03/2042,"R$ 497.985,69","R$ 1.000,00","R$ 498.985,69","R$ 5.239,35",15.0%,"R$ 4.453,45","R$ 503.439,14"
04/2042,"R$ 503.439,14","R$ 1.000,00","R$ 504.439,14","R$ 5.296,61",15.0%,"R$ 4.502,12","R$ 508.941,26"
